YEAR,MONTH,DAY,HOUR,PRCP,,,,
2013,4,29,14,2,,,,
2013,5,1,1,0,,,,
2013,5,8,2,2,,,,
2013,5,8,3,35,,,,
2013,5,8,4,17,,,,
2013,5,8,5,19,,,,
2013,5,8,6,25,,,,
2013,5,8,7,37,,,,
2013,5,8,8,103,,,,
2013,5,8,9,1,,,,
2013,5,8,12,52,,,,
2013,5,8,13,11,,,,
2013,5,9,7,2,,,,
2013,5,9,8,0,,,,
2013,5,9,9,8,,,,
2013,5,9,10,24,,,,
2013,5,9,11,13,,,,
2013,5,9,12,3,,,,
2013,5,9,17,0,,,,
2013,5,11,0,1,,,,
2013,5,11,1,14,,,,
2013,5,11,2,1,,,,
2013,5,11,3,1,,,,
2013,5,11,4,0,,,,
2013,5,11,5,1,,,,
2013,5,11,7,0,,,,
2013,5,11,8,2,,,,
2013,5,11,9,0,,,,
2013,5,11,15,3,,,,
2013,5,11,16,87,,,,
2013,5,12,5,0,,,,
2013,5,12,6,0,,,,
2013,5,12,7,0,,,,
2013,5,18,14,1,,,,
2013,5,19,3,3,,,,
2013,5,19,4,1,,,,
2013,5,19,5,2,,,,
2013,5,19,6,0,,,,
2013,5,19,7,3,,,,
2013,5,19,8,4,,,,
2013,5,19,9,3,,,,
2013,5,19,10,6,,,,
2013,5,19,11,6,,,,
2013,5,19,12,6,,,,
2013,5,19,13,10,,,,
2013,5,19,14,5,,,,
2013,5,19,15,3,,,,
2013,5,19,16,3,,,,
2013,5,19,17,2,,,,
2013,5,19,18,3,,,,
2013,5,23,6,0,,,,
2013,5,23,7,0,,,,
2013,5,23,12,3,,,,
2013,5,23,14,0,,,,
2013,5,23,15,90,,,,
2013,5,23,16,83,,,,
2013,5,23,17,0,,,,
2013,5,23,18,3,,,,
2013,5,23,19,2,,,,
2013,5,24,1,1,,,,
2013,5,24,2,8,,,,
2013,5,24,3,0,,,,
2013,5,24,4,1,,,,
2013,5,24,6,0,,,,
2013,5,24,7,0,,,,
2013,5,24,12,0,,,,
2013,5,24,13,0,,,,
2013,5,24,14,5,,,,
2013,5,24,15,2,,,,
2013,5,24,16,5,,,,
2013,5,24,17,2,,,,
2013,5,24,18,0,,,,
